timestamp_utc_str,lat,lon,alt_m,sat,hdop,speed_obd_kmh,acc_lon_G,acc_lat_G,roll_deg,pitch_deg,slope_deg,slope_confidence,heading_deg,yawRate_dps,heading_confidence,rpm,load_pct,throttle_pct,estimated_gear,t_mono_us,utc_epoch_us,utc_valid,sync_quality,imu_t_us,gnss_t_us,obd_speed_t_us,imu_age_ms,gnss_age_ms,obd_speed_age_ms
2026-05-18 18:30:00,45.478,9.227001,135.0,11,0.7,55.1,-0.01,0.003,0.46,0.2,0.0,0.7,90.0,-0.53,0.73,4080,40,34.1,3,500000,1779129000000000,1,92,497780,477765,497188,2,22,2
2026-05-18 18:30:00,45.478001,9.227001,135.0,11,0.71,53.9,0.018,0.023,0.17,-0.31,0.01,0.7,90.5,0.23,0.73,4082,39,33.1,3,1000000,1779129000500000,1,96,999392,988139,997225,0,11,2
2026-05-18 18:30:01,45.478001,9.227002,135.1,11,0.71,54.3,0.018,0.014,-0.16,0.08,0.02,0.71,91.0,0.51,0.78,4045,45,37.8,3,1500000,1779129001000000,1,97,1498398,1480548,1495948,1,19,4
2026-05-18 18:30:01,45.478001,9.227002,135.1,11,0.72,57.6,0.033,0.045,0.57,-0.15,0.03,0.71,91.5,0.96,0.8,4287,47,42.9,3,2000000,1779129001500000,1,97,1999492,1986208,1992199,0,13,7
2026-05-18 18:30:02,45.478002,9.227003,135.1,11,0.72,58.6,0.042,0.058,0.7,-0.16,0.04,0.72,92.0,0.61,0.7,4344,44,41.8,3,2500000,1779129002000000,1,92,2498213,2479478,2495585,1,20,4
2026-05-18 18:30:02,45.478002,9.227004,135.2,11,0.73,58.4,0.061,0.085,0.11,0.17,0.05,0.72,92.5,1.99,0.78,4529,45,39.4,3,3000000,1779129002500000,1,98,2999060,2970667,2997805,0,29,2
2026-05-18 18:30:03,45.478003,9.227004,135.2,11,0.74,59.3,0.054,0.09,0.4,0.04,0.06,0.72,93.0,2.17,0.8,4341,47,40.1,3,3500000,1779129003000000,1,95,3497433,3484752,3493306,2,15,6
2026-05-18 18:30:03,45.478003,9.227005,135.2,11,0.74,59.9,0.068,0.111,-0.05,0.0,0.07,0.73,93.4,2.51,0.79,4490,49,45.1,3,4000000,1779129003500000,1,97,3997692,3990364,3993716,2,9,6
2026-05-18 18:30:04,45.478003,9.227006,135.3,11,0.75,57.6,0.077,0.118,0.77,0.71,0.08,0.73,93.9,2.43,0.78,4419,50,42.6,3,4500000,1779129004000000,1,94,4498717,4491923,4493050,1,8,6
2026-05-18 18:30:04,45.478004,9.227006,135.3,11,0.76,59.6,0.087,0.122,0.42,0.13,0.09,0.74,94.4,2.27,0.8,4584,50,45.8,3,5000000,1779129004500000,1,99,4998940,4991900,4992193,1,8,7
2026-05-18 18:30:05,45.478004,9.227007,135.3,11,0.76,60.7,0.082,0.135,0.75,0.46,0.1,0.74,94.9,2.84,0.82,4401,51,46.3,3,5500000,1779129005000000,1,100,5499156,5487571,5496541,0,12,3
2026-05-18 18:30:05,45.478004,9.227008,135.4,11,0.77,62.0,0.118,0.167,0.14,0.72,0.11,0.75,95.4,2.85,0.72,4745,53,49.8,3,6000000,1779129005500000,1,96,5997327,5973306,5993068,2,26,6
